categoria_2,data_iso,ticket_id,motivo,responsavel,status,status_2,inicio_dt,fim_dt,tempo_min
,2026-01-15,997466,Troca de E-mail,Bárbara,Aberto,,2026-01-15 05:03:00,2026-01-15 05:13:00,10.0
,2026-01-15,994227,Cashback,Bárbara,Aberto,,2026-01-15 05:18:00,2026-01-15 05:19:00,1.0
,2026-01-15,990765,Cashback,Bárbara,Aberto,,2026-01-15 05:43:00,2026-01-15 05:48:00,5.0
,2026-01-15,989480,Cashback,Bárbara,Aberto,,2026-01-15 06:14:00,2026-01-15 06:19:00,5.0
,2026-01-15,989494,Indique e ganhe,Bárbara,Aberto,,2026-01-15 06:27:00,2026-01-15 06:28:00,1.0
,2026-01-15,989822,Auto Exclusão,Bárbara,Aberto,,2026-01-15 06:48:00,2026-01-15 06:49:00,1.0
,2026-01-16,1005377,Indique e ganhe,Bárbara,Aberto,,2026-01-16 19:34:00,2026-01-16 19:41:00,7.0
,2026-01-16,1005605,Cashback,Bárbara,Aberto,,2026-01-16 20:40:00,2026-01-16 20:42:00,2.0
,2026-01-16,29176843,Cashback,Bárbara,Aberto,,2026-01-16 20:45:00,2026-01-16 20:55:00,10.0
,2026-01-16,29446700,Cashback,Bárbara,Aberto,,2026-01-16 21:14:00,2026-01-16 21:15:00,1.0
,2026-01-16,1005792,Cashback,Bárbara,Aberto,,2026-01-16 21:30:00,2026-01-16 21:31:00,1.0
,2026-01-16,1005872,Cashback,Bárbara,Aberto,,2026-01-16 21:45:00,2026-01-16 21:46:00,1.0
,2026-01-16,1005942,Cashback,Bárbara,Aberto,,2026-01-16 22:00:00,2026-01-16 22:32:00,32.0
,2026-01-16,1006134,Troca de E-mail,Bárbara,Aberto,,2026-01-16 22:34:00,2026-01-16 22:35:00,1.0
,2026-01-16,1006135,Troca de E-mail,Bárbara,Aberto,,2026-01-16 22:39:00,2026-01-16 22:41:00,2.0
,2026-01-16,1006320,KYC/Reembolso,Bárbara,Aberto,,2026-01-16 22:55:00,2026-01-16 22:57:00,2.0
,2026-01-16,1006632,Campanhas/CRM,Bárbara,Aberto,,2026-01-16 22:53:00,2026-01-16 23:02:00,9.0
,2026-01-17,1006989,KYC/Reembolso,Bárbara,Aberto,,2026-01-17 00:44:00,2026-01-17 00:48:00,4.0
,2026-01-17,1006668,KYC/Reembolso,Bárbara,Aberto,,2026-01-17 01:12:00,2026-01-17 01:13:00,1.0
,2026-01-17,1006267,Troca de E-mail,Bárbara,Aberto,,2026-01-17 01:15:00,2026-01-17 01:19:00,4.0
,2026-01-17,1007907,KYC/Reembolso,Lucas,Aberto,,2026-01-17 01:36:00,2026-01-17 01:38:00,2.0
,2026-01-17,1007787,KYC/Reembolso,Lucas,Aberto,,2026-01-17 01:39:00,2026-01-17 01:40:00,1.0
,2026-01-17,1007448,KYC/Reembolso,Lucas,Aberto,,2026-01-17 01:45:00,2026-01-17 01:47:00,2.0
,2026-01-17,1007184,KYC/Reembolso,Lucas,Aberto,,2026-01-17 01:52:00,2026-01-17 01:54:00,2.0
,2026-01-17,1007099,KYC/Reembolso,Lucas,Em espera,,2026-01-17 01:55:00,2026-01-17 01:56:00,1.0
,2026-01-17,1006903,KYC/Reembolso,Lucas,Em espera,,2026-01-17 01:57:00,2026-01-17 01:59:00,2.0
,2026-01-17,1006887,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,2026-01-17 01:59:00,2026-01-17 02:01:00,2.0
,2026-01-17,1006727,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,2026-01-17 02:03:00,2026-01-17 02:07:00,4.0
,2026-01-17,1006593,Bloqueio/Fraude,Lucas,Aberto,,2026-01-17 02:11:00,2026-01-17 02:13:00,2.0
,2026-01-17,1008052,Cashback,Lucas,Em espera,,2026-01-17 02:22:00,2026-01-17 02:25:00,3.0
,2026-01-17,1007312,Cashback,Lucas,Em espera,,2026-01-17 02:49:00,2026-01-17 02:51:00,2.0
,2026-01-17,1007153,KYC/Reembolso,Lucas,Aberto,,2026-01-17 02:58:00,2026-01-17 02:59:00,1.0
,2026-01-17,1007059,KYC/Reembolso,Lucas,Em espera,,2026-01-17 03:01:00,2026-01-17 03:02:00,1.0
,2026-01-17,1006458,KYC/Reembolso,Lucas,Aberto,,2026-01-17 03:04:00,2026-01-17 03:06:00,2.0
,2026-01-17,1006264,KYC/Reembolso,Lucas,Aberto,,2026-01-17 03:16:00,,
,2026-01-17,1008275,Giros,Lucas,Aberto,,2026-01-17 03:41:00,2026-01-17 03:54:00,13.0
,2026-01-17,1008311,Cashback,Lucas,Em espera,,2026-01-17 03:55:00,2026-01-17 04:05:00,10.0
,2026-01-17,1008366,Cashback,Lucas,Em espera,,2026-01-17 04:08:00,2026-01-17 04:13:00,5.0
,2026-01-17,1007976,Cashback,Lucas,,,2026-01-17 04:17:00,,
,2026-01-17,1007717,Bloqueio/Fraude,Lucas,Aberto,,2026-01-17 04:24:00,2026-01-17 04:25:00,1.0
,2026-01-17,1007489,Campanhas/CRM,Lucas,Aberto,,2026-01-17 04:34:00,2026-01-17 04:36:00,2.0
,2026-01-17,1005910,Campanhas/CRM,Lucas,Aberto,,2026-01-17 04:49:00,2026-01-17 04:51:00,2.0
,2026-01-17,1005905,Giros,Lucas,Aberto,,2026-01-17 04:52:00,2026-01-17 04:56:00,4.0
,2026-01-17,1005871,Indique e ganhe,Lucas,Em espera,,2026-01-17 04:58:00,2026-01-17 05:12:00,14.0
,2026-01-17,1008472,Campanhas/CRM,Lucas,Aberto,,2026-01-17 05:22:00,2026-01-17 05:24:00,2.0
,2026-01-17,1008543,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,2026-01-17 06:31:00,2026-01-17 06:33:00,2.0
