ticket_id,Data,Motivo,Responsável,Status,Hora Início,Hora Fim,Tempo de Conclusão (TMA),SLA_fila,Assertividade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950173,1/6/2026,Giros,Lucas,Aberto,20:47,20:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950289,1/6/2026,Bloqueio/Fraude,Lucas,Aberto,21:25,21:26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950526,1/6/2026,KYC/Reembolso,Lucas,Aberto,21:01,21:31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950387,1/6/2026,KYC/Reembolso,Lucas,Aberto,21:32,21:54,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950533,1/6/2026,KYC/Reembolso,Lucas,Aberto,21:40,21:45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950747,1/6/2026,KYC/Reembolso,Lucas,Aberto,22:01,22:09,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950707,1/6/2026,KYC/Reembolso,Lucas,Aberto,22:11,22:21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#950653,1/6/2026,KYC/Reembolso,Lucas,Aberto,22:28,22:35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#949995,1/6/2026,Giros,Lucas,Aberto,22:38,22:52,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951101,1/7/2026,Giros,Bárbara,Aberto,2:03,2:32,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951203,1/7/2026,KYC/Reembolso,Bárbara,Aberto,2:35,2:39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951122,1/7/2026,KYC/Reembolso,Bárbara,Aberto,2:42,2:46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951267,1/7/2026,Giros,Bárbara,Aberto,2:53,3:01,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#951275,1/7/2026,Giros,Bárbara,Aberto,3:02,3:04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
