"ticket_id","Data_iso","inicio_dt","fim_dt","tempo_min","Data","Motivo","Responsável","Status","Hora Início","Hora Fim","Tempo de Conclusão (TMA)","SLA_fila","Assertividade"
"#962678","2026-01-09","2026-01-09 03:09:00","2026-01-09 03:11:00","2","1/9/2026","KYC/Reembolso","Bárbara","Aberto","03:09","03:11","2","",""
"#962578","2026-01-09","2026-01-09 03:07:00","2026-01-09 03:22:00","15","1/9/2026","KYC/Reembolso","Lucas","Aberto","03:07","03:22","15","",""
"#962483","2026-01-09","2026-01-09 03:12:00","2026-01-09 03:15:00","3","1/9/2026","KYC/Reembolso","Lucas","Aberto","03:12","03:15","3","",""
"#964251","2026-01-09","2026-01-09 03:24:00","2026-01-09 03:51:00","27","1/9/2026","Indique e ganhe","Lucas","Aberto","03:24","03:51","27","",""
"#962392","2026-01-09","2026-01-09 03:36:00","2026-01-09 03:45:00","00:00","1/9/2026","KYC/Reembolso","Lucas","Aberto","03:36","03:45","00:00","",""
"#965175","2026-01-09","2026-01-09 04:13:00","2026-01-09 05:50:00","97","1/9/2026","PVE","Lucas","Aberto","04:13","05:50","97","",""
"#961845","2026-01-09","2026-01-09 03:57:00","2026-01-09 04:07:00","10","1/9/2026","Cashback","Lucas","Em espera","03:57","04:07","10","",""
"#961814","2026-01-09","2026-01-09 04:22:00","2026-01-09 04:26:00","4","1/9/2026","Cashback","Lucas","Em espera","04:22","04:26","4","",""
"#961327","2026-01-09","2026-01-09 04:29:00","2026-01-09 04:39:00","10","1/9/2026","Erro Plataforma","Lucas","Aberto","04:29","04:39","10","",""
"#961269","2026-01-09","2026-01-09 04:42:00","2026-01-09 04:44:00","2","1/9/2026","Cashback","Lucas","Em espera","04:42","04:44","2","",""
"#961248","2026-01-09","2026-01-09 04:45:00","2026-01-09 05:26:00","41","1/9/2026","Cashback","Lucas","Aberto","04:45","05:26","41","",""
"#961150","2026-01-09","2026-01-09 05:27:00","2026-01-09 05:38:00","11","1/9/2026","Troca de E-mail","Lucas","Aberto","05:27","05:38","11","",""
"#965188","2026-01-09","2026-01-09 05:44:00","2026-01-09 05:50:00","6","1/9/2026","Bloqueio/Fraude","Bárbara","Aberto","05:44","05:50","6","",""
"#963765","2026-01-09","2026-01-09 05:52:00","2026-01-09 05:53:00","1","1/9/2026","PVE","Lucas","Aberto","05:52","05:53","1","",""
"#976466","2026-01-10","2026-01-10 19:44:00","2026-01-10 19:49:00","","1/10/2026","KYC/Reembolso","Lucas","Aberto","19:44","19:49","","",""
"#976146","2026-01-10","2026-01-10 19:50:00","2026-01-10 19:55:00","5","1/10/2026","Cashback","Lucas","Em espera","19:50","19:55","5","",""
"#976799","2026-01-10","2026-01-10 20:01:00","2026-01-10 20:04:00","3","1/10/2026","Bloqueio/Fraude/Kyc","Lucas","Aberto","20:01","20:04","3","",""
"#976316","2026-01-10","2026-01-10 20:22:00","2026-01-10 20:25:00","3","1/10/2026","KYC/Reembolso","Lucas","Aberto","20:22","20:25","3","",""
"#974960","2026-01-10","2026-01-10 21:16:00","2026-01-10 21:20:00","4","1/10/2026","PVE","Lucas","Aberto","21:16","21:20","4","",""
"#976942","2026-01-10","2026-01-10 21:42:00","2026-01-10 21:46:00","4","1/10/2026","Cashback","Lucas","Em espera","21:42","21:46","4","",""
"#977033","2026-01-10","2026-01-10 21:59:00","2026-01-10 22:03:00","4","1/10/2026","Cashback","Lucas","Aberto","21:59","22:03","4","",""
"#977286","2026-01-10","2026-01-10 22:06:00","2026-01-10 22:14:00","8","1/10/2026","Financeiro (Depósito, saque e Devolução)","Lucas","Aberto","22:06","22:14","8","",""
"#976888","2026-01-10","2026-01-10 22:16:00","2026-01-10 22:17:00","1","1/10/2026","Cashback","Lucas","Em espera","22:16","22:17","1","",""
"#977309","2026-01-10","2026-01-10 23:17:00","2026-01-10 23:22:00","5","1/10/2026","Cashback","Lucas","Em espera","23:17","23:22","5","",""
"#977497","2026-01-11","2026-01-11 00:01:00","2026-01-11 00:04:00","3","1/11/2026","KYC/Reembolso","Lucas","Aberto","00:01","00:04","3","",""
"#978511","2026-01-11","2026-01-11 03:04:00","2026-01-11 03:14:00","10","1/11/2026","KYC/Reembolso","Bárbara","Aberto","03:04","03:14","10","",""
"#978215","2026-01-11","2026-01-11 03:53:00","2026-01-11 03:55:00","2","1/11/2026","Campanhas/CRM","Bárbara","Aberto","03:53","03:55","2","",""
"#978801","2026-01-11","2026-01-11 05:37:00","2026-01-11 05:39:00","2","1/11/2026","KYC/Reembolso","Bárbara","Aberto","05:37","05:39","2","",""
"#978823","2026-01-11","2026-01-11 05:55:00","2026-01-11 06:14:00","19","1/11/2026","Financeiro (Depósito, saque e Devolução)","Bárbara","Aberto","05:55","06:14","19","",""
"#978839","2026-01-11","2026-01-11 06:45:00","2026-01-11 06:55:00","10","1/11/2026","Campanhas/CRM","Bárbara","Aberto","06:45","06:55","10","",""
"#968008","2026-01-12","2026-01-12 19:27:00","2026-01-12 19:28:00","","1/12/2026","Campanhas/CRM","Bárbara","Em espera","19:27","19:28","","",""
"#969481","2026-01-12","2026-01-12 19:43:00","2026-01-12 19:44:00","1","1/12/2026","Campanhas/CRM","Bárbara","Em espera","19:43","19:44","1","",""
"#983829","2026-01-12","2026-01-12 19:56:00","2026-01-12 19:58:00","2","1/12/2026","Campanhas/CRM","Bárbara","Aberto","19:56","19:58","2","",""
"#984529","2026-01-12","2026-01-12 20:07:00","2026-01-12 20:12:00","5","1/12/2026","Campanhas/CRM","Bárbara","Aberto","20:07","20:12","5","",""
"#984965","2026-01-12","2026-01-12 20:40:00","2026-01-12 20:42:00","2","1/12/2026","Campanhas/CRM","Bárbara","Aberto","20:40","20:42","2","",""
"#986681","2026-01-12","2026-01-12 20:52:00","2026-01-12 20:55:00","3","1/12/2026","Financeiro (Depósito, saque e Devolução)","Bárbara","Aberto","20:52","20:55","3","",""
"#986504","2026-01-12","2026-01-12 20:55:00","2026-01-12 20:59:00","4","1/12/2026","Troca de E-mail","Bárbara","Aberto","20:55","20:59","4","",""
"#986482","2026-01-12","2026-01-12 21:11:00","2026-01-12 21:14:00","3","1/12/2026","KYC/Reembolso","Bárbara","Aberto","21:11","21:14","3","",""
"#986247","2026-01-12","2026-01-12 21:28:00","2026-01-12 21:29:00","1","1/12/2026","Bloqueio/Fraude/Kyc","Bárbara","Em espera","21:28","21:29","1","",""
"#986239","2026-01-12","2026-01-12 21:37:00","2026-01-12 21:38:00","1","1/12/2026","Bloqueio/Fraude/Kyc","Bárbara","Em espera","21:37","21:38","1","",""
"#985502","2026-01-12","2026-01-12 21:43:00","2026-01-12 21:48:00","","1/12/2026","KYC/Reembolso","Bárbara","Aberto","21:43","21:48","","",""
"#970324","2026-01-12","2026-01-12 21:55:00","2026-01-12 21:58:00","3","1/12/2026","Financeiro (Depósito, saque e Devolução)","Bárbara","Aberto","21:55","21:58","3","",""
"#968277","2026-01-12","2026-01-12 22:03:00","2026-01-12 22:08:00","5","1/12/2026","Aposta esportiva","Bárbara","Aberto","22:03","22:08","5","",""
"#985631","2026-01-12","2026-01-12 22:11:00","2026-01-12 22:13:00","2","1/12/2026","Giros","Bárbara","Aberto","22:11","22:13","2","",""
"#958830","2026-01-12","","","","1/12/2026","","","","","","","",""
"#986977","2026-01-12","2026-01-12 22:36:00","2026-01-12 22:41:00","5","1/12/2026","Giros","Bárbara","Aberto","22:36","22:41","5","",""
"#986656","2026-01-13","2026-01-13 01:21:00","2026-01-13 01:23:00","2","1/13/2026","Cashback","Lucas","Em espera","01:21","01:23","2","",""
"#987260","2026-01-13","2026-01-13 01:24:00","2026-01-13 01:26:00","2","1/13/2026","Troca de E-mail","Lucas","Aberto","01:24","01:26","2","",""
"#987350","2026-01-13","2026-01-13 01:30:00","2026-01-13 01:31:00","1","1/13/2026","Cashback","Lucas","Aberto","01:30","01:31","1","",""
"#987447","2026-01-13","2026-01-13 01:31:00","2026-01-13 01:33:00","2","1/13/2026","Giros","Lucas","Aberto","01:31","01:33","2","",""
"#987971","2026-01-13","2026-01-13 02:32:00","2026-01-13 02:35:00","3","1/13/2026","Bloqueio/Fraude","Lucas","Aberto","02:32","02:35","3","",""
"#987862","2026-01-13","2026-01-13 03:59:00","2026-01-13 04:01:00","2","1/13/2026","KYC/Reembolso","Lucas","Aberto","03:59","04:01","2","",""
"#988087","2026-01-13","2026-01-13 04:32:00","2026-01-13 04:36:00","4","1/13/2026","Cashback","Lucas","Aberto","04:32","04:36","4","",""
"#988180","2026-01-13","2026-01-13 05:22:00","2026-01-13 05:24:00","2","1/13/2026","KYC/Reembolso","Lucas","Aberto","05:22","05:24","2","",""
"#988083","2026-01-13","2026-01-13 05:29:00","2026-01-13 05:34:00","5","1/13/2026","Cashback","Lucas","Aberto","05:29","05:34","5","",""
"#988178","2026-01-13","2026-01-13 05:39:00","2026-01-13 05:49:00","10","1/13/2026","Indique e ganhe","Lucas","Aberto","05:39","05:49","10","",""
"#988221","2026-01-13","2026-01-13 06:24:00","2026-01-13 06:47:00","23","1/13/2026","Cashback","Lucas","Em espera","06:24","06:47","23","",""
"#995767","2026-01-14","2026-01-14 19:43:00","2026-01-14 19:44:00","1","1/14/2026","KYC/Reembolso","Lucas","Em espera","19:43","19:44","1","",""
"#995435","2026-01-14","2026-01-14 19:47:00","2026-01-14 19:49:00","2","1/14/2026","Bloqueio/Fraude","Lucas","Aberto","19:47","19:49","2","",""
"#995918","2026-01-14","2026-01-14 20:14:00","2026-01-14 20:15:00","1","1/14/2026","KYC/Reembolso","Lucas","Aberto","20:14","20:15","1","",""
"#995667","2026-01-14","2026-01-14 20:35:00","2026-01-14 20:36:00","1","1/14/2026","KYC/Reembolso","Lucas","Em espera","20:35","20:36","1","",""
"#995411","2026-01-14","2026-01-14 20:51:00","2026-01-14 20:52:00","1","1/14/2026","KYC/Reembolso","Lucas","Em espera","20:51","20:52","1","",""
"#996120","2026-01-14","2026-01-14 20:53:00","2026-01-14 20:56:00","3","1/14/2026","KYC/Reembolso","Lucas","Em espera","20:53","20:56","3","",""
"#996118","2026-01-14","2026-01-14 20:57:00","2026-01-14 20:59:00","2","1/14/2026","KYC/Reembolso","Lucas","Em espera","20:57","20:59","2","",""
"#995997","2026-01-14","2026-01-14 21:03:00","2026-01-14 21:06:00","3","1/14/2026","KYC/Reembolso","Lucas","Em espera","21:03","21:06","3","",""
"#995397","2026-01-14","2026-01-14 21:11:00","2026-01-14 21:12:00","1","1/14/2026","KYC/Reembolso","Lucas","Em espera","21:11","21:12","1","",""
"#995361","2026-01-14","2026-01-14 21:16:00","2026-01-14 21:18:00","2","1/14/2026","Troca de E-mail","Lucas","Aberto","21:16","21:18","2","",""
"#994870","2026-01-14","2026-01-14 21:23:00","2026-01-14 21:25:00","2","1/14/2026","KYC/Reembolso","Lucas","Em espera","21:23","21:25","2","",""
"#994777","2026-01-14","2026-01-14 21:28:00","2026-01-14 21:32:00","4","1/14/2026","KYC/Reembolso","Lucas","Em espera","21:28","21:32","4","",""
"#994681","2026-01-14","2026-01-14 21:49:00","2026-01-14 21:51:00","2","1/14/2026","KYC/Reembolso","Lucas","Em espera","21:49","21:51","2","",""
"#993894","2026-01-14","2026-01-14 21:59:00","2026-01-14 22:00:00","1","1/14/2026","KYC/Reembolso","Lucas","Em espera","21:59","22:00","1","",""
"#993842","2026-01-14","2026-01-14 22:06:00","2026-01-14 22:07:00","1","1/14/2026","Troca de E-mail","Lucas","Aberto","22:06","22:07","1","",""
"#996363","2026-01-14","2026-01-14 22:27:00","2026-01-14 22:31:00","4","1/14/2026","Troca de E-mail","Lucas","Em espera","22:27","22:31","4","",""
"#995810","2026-01-14","2026-01-14 22:34:00","2026-01-14 22:35:00","1","1/14/2026","Bloqueio/Fraude/Kyc","Lucas","Aberto","22:34","22:35","1","",""
"#995567","2026-01-14","2026-01-14 22:40:00","2026-01-14 22:47:00","7","1/14/2026","Campanhas/CRM","Lucas","Aberto","22:40","22:47","7","",""
"#994348","2026-01-14","2026-01-14 22:51:00","2026-01-14 22:56:00","5","1/14/2026","KYC/Reembolso","Lucas","Em espera","22:51","22:56","5","",""
"#996364","2026-01-14","2026-01-14 23:20:00","2026-01-14 23:32:00","12","1/14/2026","Giros","Lucas","Aberto","23:20","23:32","12","",""
"#996618","2026-01-14","2026-01-14 23:33:00","2026-01-14 23:40:00","7","1/14/2026","KYC/Reembolso","Lucas","Aberto","23:33","23:40","7","",""
"#996747","2026-01-14","2026-01-14 23:56:00","2026-01-14 00:01:00","5","1/14/2026","KYC/Reembolso","Lucas","Aberto","23:56","00:01","5","",""
"#995583","2026-01-14","2026-01-14 01:28:00","2026-01-14 02:06:00","38","1/14/2026","Cashback","Lucas","Aberto","01:28","02:06","38","",""
"#996761","2026-01-14","2026-01-14 02:17:00","2026-01-14 02:18:00","1","1/14/2026","Cashback","Lucas","Aberto","02:17","02:18","1","",""
"#995042","2026-01-14","2026-01-14 02:27:00","2026-01-14 02:29:00","2","1/14/2026","Giros","Lucas","Aberto","02:27","02:29","2","",""
"#994840","2026-01-14","2026-01-14 02:31:00","2026-01-14 02:33:00","2","1/14/2026","Bloqueio/Fraude","Lucas","Aberto","02:31","02:33","2","",""
"#994817","2026-01-14","2026-01-14 03:06:00","2026-01-14 03:08:00","2","1/14/2026","KYC/Reembolso","Lucas","Em espera","03:06","03:08","2","",""
"#994444","2026-01-15","2026-01-15 03:15:00","2026-01-15 03:19:00","4","1/15/2026","Cashback","Lucas","Aberto","03:15","03:19","4","",""
"#997366","2026-01-15","2026-01-15 03:21:00","2026-01-15 03:24:00","3","1/15/2026","KYC/Reembolso","Lucas","Aberto","03:21","03:24","3","",""
"#994383","2026-01-15","2026-01-15 03:27:00","2026-01-15 03:32:00","5","1/15/2026","Bloqueio/Fraude","Lucas","Aberto","03:27","03:32","5","",""
"#994349","2026-01-15","2026-01-15 03:43:00","2026-01-15 03:45:00","2","1/15/2026","Cashback","Lucas","Aberto","03:43","03:45","2","",""
"#997323","2026-01-15","2026-01-15 03:55:00","2026-01-15 03:56:00","1","1/15/2026","KYC/Reembolso","Lucas","Aberto","03:55","03:56","1","",""
"#995410","2026-01-15","2026-01-15 04:08:00","2026-01-15 04:09:00","1","1/15/2026","Cashback","Lucas","Em espera","04:08","04:09","1","",""
"#990742","2026-01-15","2026-01-15 04:25:00","2026-01-15 04:28:00","3","1/15/2026","Cashback","Lucas","Em espera","04:25","04:28","3","",""
"#994046","2026-01-15","2026-01-15 04:43:00","2026-01-15 04:44:00","1","1/15/2026","Cashback","Lucas","Em espera","04:43","04:44","1","",""
